    4  123       1.81572       0.49394       1.21271       0.78456       7.18111       1.98494       5.95379       2.91685       3.01234       1.03385       2.15875       1.60588       5.64119       1.05807       4.55169       1.81427
    4  125       1.90656       0.09401       1.47434       0.16398       7.69951       1.98383       6.57071       2.75424       2.78378       0.26008       2.05805       0.67173       6.37381       1.34009       5.43712       1.84779
    4  127       2.73471       0.60922       2.62337       0.30108       8.90562       2.84634       8.09815       3.23505       3.26851       0.44035       2.85305       0.44326       7.81242       2.41441       7.20850       2.58812
    5    6       0.37856       2.44431       0.61879       1.86012       1.96634       0.11374       1.51925       0.24599       0.12097       1.60138       0.13981       1.19511       1.78699       0.55936       1.60402       0.46921
    5    7       0.33761       2.07624       0.84039       1.16557       2.65373       0.37626       2.45906       0.22746       0.26763       1.23994       0.41061       0.68236       2.35673       0.86701       2.53281       0.34796
    5   15       0.84628       3.38315       1.69977       2.19706       2.40770       0.98631       2.56351       0.49453       0.36059       2.10046       0.85336       1.26597       2.45690       1.84484       2.97499       0.99339
    5   28       0.19961       2.11766       0.21148       1.62570       2.41156       0.31040       1.70357       0.51774       0.71401       1.92083       0.46695       1.64226       1.50107       0.14822       1.09013       0.09775
    5   30       0.15077       1.80805       0.49343       1.03845       2.64826       0.35708       2.35960       0.27500       0.38626       1.37366       0.49645       0.80997       2.04935       0.47225       2.03467       0.14106
    5   36       2.65232       8.75556       3.08831       7.78546       0.36385       2.53889       0.25625       2.12323       2.41795       7.74759       2.58689       6.95500       0.20742       3.20204       0.40408       2.56354
    5   38       2.02993       8.03366       2.98008       6.56173       0.09025       2.13315       0.43793       1.34028       1.51261       6.75543       2.25187       5.49385       0.25661       3.10119       0.85899       2.05305
    5   45       2.46402       8.71211       3.21242       7.58627       0.07441       2.35808       0.17396       1.87685       1.93126       7.34274       2.31847       6.56235       0.20195       3.35657       0.67287       2.51075
    5   47       2.31487       8.47054       3.38347       6.85681       0.17233       2.37724       0.63095       1.47398       1.46138       6.81501       2.19424       5.55368       0.65710       3.69498       1.46186       2.42576
    5  117       2.14362       0.04646       1.41865       0.35245       8.20333       2.07734       6.72968       3.12708       3.19456       0.31818       2.11427       0.96494       6.69939       1.38058       5.59451       2.07121
    5  118       2.16026       0.12505       1.51563       0.44819       7.99253       1.98322       6.60673       2.97209       2.81730       0.14398       1.91560       0.64457       6.85849       1.52425       5.76616       2.29000
    5  119       2.51303       0.17131       2.09507       0.15412       8.88439       2.56780       7.70292       3.26373       3.28446       0.17197       2.50874       0.52053       7.70286       2.16807       6.88543       2.49247
    5  120       2.76713       0.55711       2.39529       0.46946       8.81031       2.63104       7.74778       3.20800       3.14456       0.26089       2.56290       0.39355       7.99580       2.53263       7.18633       2.84609
    6    7       0.40710       1.73683       0.50806       1.18077       2.87654       0.27377       2.42642       0.36141       0.35868       0.97028       0.19323       0.71405       2.51642       0.66021       2.28917       0.48604
    6    8       0.33205       1.97346       0.83475       1.11988       2.78247       0.45872       2.60897       0.32241       0.22917       1.10333       0.36245       0.61810       2.40192       0.89323       2.58362       0.39447
    6   13       0.16946       2.49109       0.27438       2.00866       1.91712       0.35257       1.46437       0.49808       0.58150       2.21790       0.45103       2.01962       1.10055       0.24156       0.83813       0.14372
    6   15       0.11228       2.14460       0.52479       1.35941       2.23527       0.44488       2.12388       0.20466       0.18751       1.53873       0.38212       1.00103       1.68625       0.59451       1.74759       0.14912
    6   44       3.24968       9.66446       3.62636       8.78144       0.61930       3.07325       0.35278       2.87656       3.11518       8.72672       3.12164       8.20519       0.45234       3.73953       0.53871       3.19823
    6   45       2.49046       8.26066       2.82301       7.49039       0.24029       2.14489       0.07798       1.90104       2.13053       7.08633       2.20311       6.61530       0.31047       3.04200       0.36184       2.54060
    6   46       2.20928       8.30913       3.02538       7.11088       0.10353       2.20992       0.19652       1.71220       1.75247       7.06727       2.20100       6.22666       0.17558       3.12213       0.62901       2.27405
    6   47       1.93452       7.65108       2.62168       6.41459       0.06577       1.91809       0.28271       1.25933       1.25283       6.18942       1.69289       5.23041       0.38128       3.03250       0.80277       2.13716
