 m n lenL1 lenS1 Hright1 Hleft1 Area1 CosA1 lenL2 lenS2 Hright2 Hleft2 Area2 CosA2 Dcen Datom Dcenp1 Dcenp2 CosL CosS CosN CosO AreaPJ
    3  523    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.38451    1.11899    0.27848    1.16381    0.94746    0.98122    1.74799    0.37631   -0.03507   -0.08277   -0.93845   -0.81012   -0.02878   -0.05375    0.02998
    3  641    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41116    1.08933    0.25243    1.12245    0.92506    0.97451    0.93126    0.26826   -0.24790   -0.14077   -0.11798   -0.13598   -0.01965    0.96489    0.00263
    3  644    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.42094    1.10232    0.26685    1.14535    0.94612    0.96385    0.50959    0.25656    0.47920    0.15045   -0.99600   -0.80995   -0.14049    0.50865    0.15708
    3 1025    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41502    1.08099    0.28783    1.14356    0.93462    0.92482    1.28207    0.41930   -0.99901    0.10806   -0.51919    0.39508   -0.00042   -0.60002    0.00034
    3 1051    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.42664    1.07988    0.28309    1.14290    0.93210    0.99886    0.95576    0.31181   -0.94037    0.34078    0.52753   -0.36346    0.10111   -0.47679    0.06287
    3 1064    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41935    1.08839    0.27595    1.15061    0.91936    0.91218    1.62195    0.47775    0.63838   -0.40472   -0.72261   -0.78765   -0.17521    0.77656    0.18300
    3 1220    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41163    1.10014    0.25679    1.13905    0.92773    0.98427    0.62275    0.20826    0.35674    0.19647   -0.99489   -0.97314   -0.20177    0.93175    0.22034
    3 1225    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41091    1.08077    0.25419    1.13060    0.89231    0.92706    1.80329    0.43436   -0.09648    0.01560    0.99971    0.97976    0.21056    0.98535    0.22569
    3 1420    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.40797    1.11537    0.25867    1.15319    0.93803    0.90976    1.09393    0.21437   -0.83734   -0.08020    0.22708    0.36168   -0.03233    0.41556   -0.00820
    3 1510    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41935    1.11927    0.24963    1.15754    0.92905    0.90184    1.40195    0.23698    0.75873   -0.09345   -0.56475   -0.75021   -0.05323    0.54201    0.03476
    3 1742    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41415    1.09537    0.28140    1.15648    0.93169    0.92816    1.67176    0.36097    0.08939   -0.10373   -0.96522   -0.97590   -0.14310    0.60811    0.15636
