m n xshort ynoraml zshort anglelong angleshort anglenormal
   12 1908    0.39017    0.35522    0.01713    0.18850    1.96707    1.98375
   13  225   -0.34646    0.41757    0.18597    2.99858    2.80243    0.36841
   13  294    0.06905    0.49151    0.28429    2.78831    1.84857    1.35643
   13  741    0.46752    0.08198    0.19984    2.89482    1.40774    1.75269
   13  796    0.47407    0.04565    1.55159    2.67069    1.44291    1.66354
   13  842   -0.10057    0.30188    1.24410    0.82785    2.08002    2.50313
   13  862   -0.75417    0.14229    1.30523    2.63485    0.94501    2.10615
   13 1042    0.54899    0.03388    0.11120    0.31702    1.42984    1.47071
   13 1106   -0.10109    0.48109    0.24307    2.92339    1.83974    1.32616
   13 1249    0.54622    0.31622    1.42733    0.53146    1.30114    1.42374
   13 1493   -0.10902    0.03815    1.57465    2.43154    0.72184    2.63093
   13 1621    0.02507    0.72129    0.81787    1.04076    2.36629    2.32204
   13 1922    0.19548    0.38748    1.68513    0.57872    1.85275    1.97907
   13 2006   -0.41457    0.40690    0.10567    3.03130    2.73967    0.39518
   14   58   -0.67982    0.11054    1.24146    0.93272    2.12606    2.49114
   14  127   -0.45633    0.82020    0.99783    1.50060    2.30416    1.66741
   14  404    0.09725    0.48539    1.35044    2.48484    2.03492    0.98878
   14  641    0.82000    0.65243    0.64468    1.64279    1.93744    1.18948
   14 1025    0.96199    0.07696    1.04374    2.24311    0.98381    2.40988
   14 1051   -1.02526    0.03490    0.36361    0.88541    2.28627    2.92666
   14 1064   -0.48206    0.20023    1.26810    2.50170    2.07656    0.98728
   14 1185   -0.12239    0.45359    0.11445    0.40863    2.29261    2.40077
   14 1220    0.33256    0.32625    0.17193    2.93138    2.50605    0.67116
   14 1488    0.60162    0.30448    1.44105    0.39162    2.70098    2.65355
   14 1628   -0.56456    0.14021    0.09531    2.46336    1.04924    2.33986
   14 1742    0.41705    0.08889    1.59712    3.02049    2.89355    0.24862
   14 1836    0.31017    0.63311    0.10246    0.33844    0.24628    0.23126
   14 1960   -0.08177    0.02846    1.47720    0.44027    2.82090    2.81661
   14 1985   -0.02789    0.86422    1.06502    1.45825    2.10118    1.61233
   14 2159   -0.65114    0.25510    0.08027    2.46525    0.67946    3.05658
   15  205    0.49396    0.14363    1.14022    2.33654    2.05384    1.41155
   15  414    0.36498    0.25787    0.22808    2.86918    2.24612    0.93655
   15  480    0.15965    0.45901    0.03571    2.98646    2.50814    0.64300
   15  524   -0.34648    0.33041    1.45416    2.62283    2.17673    0.80084
   15  598    0.58919    0.20462    0.14188    0.38737    2.76103    3.06120
   15  611   -0.43756    0.28679    0.16673    0.49534    2.19080    2.34790
   15  737    0.56519    0.18936    0.18872    3.06877    2.98306    0.14080
   15  745   -0.48626    0.74157    0.83037    1.97994    1.92673    1.36591
   15  951    0.64160    0.63450    0.27755    2.82220    0.81374    2.39990
   15 1132   -0.55824    0.24047    1.06441    1.83540    1.76875    0.45050
   15 1385   -0.71569    0.65225    1.20699    0.63595    1.77088    1.57635
   15 1616   -0.75279    0.47282    0.99849    1.23584    1.98941    1.43347
   15 1950   -0.09352    0.49280    0.11455    0.40835    0.83189    0.71409
